Time (UTC),T2(Model),Temp,Obs-Model,,Time (UTC),WD(Model),WD(Obs),Obs-Model,,Time (UTC),WS(Model),WS(Obs),Obs-Model,,Time (UTC),SWDown(Model), SWLower,Obs-Model,,SWUpper
12/1/2020 0:00:00,16.35733,13.74431,-2.61302,,12/1/20 0:00,248.06122,278.6917,30.63048,,12/1/20 0:00,1.47951,1.403542,-0.075968,,12/1/20 0:00,0,4.748,4.748,,-1.319
12/1/2020 1:00:00,16.04544,13.36347,-2.68197,,12/1/20 1:00,251.86467,274.7847,22.92003,,12/1/20 1:00,1.42542,1.486333,0.060913,,12/1/20 1:00,0,4.649,4.649,,-2.333
12/1/2020 2:00:00,15.9787,12.92195,-3.05675,,12/1/20 2:00,253.92874,255.9778,2.04906,,12/1/20 2:00,1.24226,0.880125,-0.362135,,12/1/20 2:00,35.57781,4.458,-31.11981,,-0.119
12/1/2020 3:00:00,17.47351,13.14375,-4.32976,,12/1/20 3:00,255.25107,263.9764,8.72533,,12/1/20 3:00,1.29906,1.098139,-0.200921,,12/1/20 3:00,203.14876,9.95,-193.19876,,40.92
12/1/2020 4:00:00,19.46429,14.14,-5.32429,,12/1/20 4:00,268.71393,281.9695,13.25557,,12/1/20 4:00,1.23652,1.502556,0.266036,,12/1/20 4:00,382.20981,21.76,-360.44981,,164.2
12/1/2020 5:00:00,22.2597,16.18889,-6.07081,,12/1/20 5:00,280.30298,266.4,-13.90298,,12/1/20 5:00,0.76262,1.77625,1.01363,,12/1/20 5:00,525.94989,34.14,-491.80989,,314.5
12/1/2020 6:00:00,24.64905,19.91291,-4.73614,,12/1/20 6:00,285.31647,273.9673,-11.34917,,12/1/20 6:00,1.11353,1.333455,0.219925,,12/1/20 6:00,612.60339,62.73,-549.87339,,463
12/1/2020 7:00:00,26.21179,21.92861,-4.28318,,12/1/20 7:00,285.43832,303.0611,17.62278,,12/1/20 7:00,1.50722,1.652167,0.144947,,12/1/20 7:00,636.5127,71.31,-565.2027,,533.7
12/1/2020 8:00:00,27.06729,23.47916,-3.58813,,12/1/20 8:00,330.55731,283.1986,-47.35871,,12/1/20 8:00,1.45536,1.879153,0.423793,,12/1/20 8:00,575.47034,71.71,-503.76034,,529
12/1/2020 9:00:00,27.02942,24.28444,-2.74498,,12/1/20 9:00,309.81033,273.95,-35.86033,,12/1/20 9:00,2.06974,2.293819,0.224079,,12/1/20 9:00,0,65.62,65.62,,465
12/1/2020 10:00:00,26.9046,24.97278,-1.93182,,12/1/20 10:00,295.68726,244.3333,-51.35396,,12/1/20 10:00,3.36363,2.032236,-1.331394,,12/1/20 10:00,296.07959,50.59,-245.48959,,337.5
12/1/2020 11:00:00,26.48868,24.95736,-1.53132,,12/1/20 11:00,294.65134,315.7958,21.14446,,12/1/20 11:00,3.58299,2.426194,-1.156796,,12/1/20 11:00,123.3174,32.32,-90.9974,,187.5
12/1/2020 12:00:00,25.10721,24.61514,-0.49207,,12/1/20 12:00,297.58502,320.3083,22.72328,,12/1/20 12:00,2.64796,1.152778,-1.495182,,12/1/20 12:00,0,14.88,14.88,,64.85
12/1/2020 13:00:00,24.17078,23.29653,-0.87425,,12/1/20 13:00,327.85944,310.7944,-17.06504,,12/1/20 13:00,1.81536,1.08575,-0.72961,,12/1/20 13:00,0,7.323,7.323,,4.369
12/1/2020 14:00:00,23.30786,21.58639,-1.72147,,12/1/20 14:00,333.40118,164.2445,-169.15668,,12/1/20 14:00,1.43789,0.9329444,-0.5049456,,12/1/20 14:00,0,5.519,5.519,,0.911
12/1/2020 15:00:00,22.26343,20.07097,-2.19246,,12/1/20 15:00,354.67319,127.3945,-227.27869,,12/1/20 15:00,1.18945,0.7279582,-0.4614918,,12/1/20 15:00,0,4.821,4.821,,0.512
12/1/2020 16:00:00,21.46201,19.46375,-1.99826,,12/1/20 16:00,11.62392,76.42639,64.80247,,12/1/20 16:00,1.10344,0.5634861,-0.5399539,,12/1/20 16:00,0,4.956,4.956,,1.389
12/1/2020 17:00:00,20.89404,18.74,-2.15404,,12/1/20 17:00,322.57697,198.9431,-123.63387,,12/1/20 17:00,0.61778,0.3978889,-0.2198911,,12/1/20 17:00,0,4.673,4.673,,1.004
12/1/2020 18:00:00,20.1507,17.48486,-2.66584,,12/1/20 18:00,268.69922,229.2264,-39.47282,,12/1/20 18:00,1.02384,0.5089166,-0.5149234,,12/1/20 18:00,0,4.564,4.564,,0.456
12/1/2020 19:00:00,19.56851,16.22655,-3.34196,,12/1/20 19:00,268.01749,183.959,-84.05849,,12/1/20 19:00,1.05863,0.392839,-0.665791,,12/1/20 19:00,0,4.427,4.427,,0.024
12/1/2020 20:00:00,18.71353,15.86486,-2.84867,,12/1/20 20:00,259.03363,190.6708,-68.36283,,12/1/20 20:00,1.11537,0.6525139,-0.4628561,,12/1/20 20:00,0,3.939,3.939,,0.036
12/1/2020 21:00:00,18.00757,15.52306,-2.48451,,12/1/20 21:00,239.1931,216.3583,-22.8348,,12/1/20 21:00,1.08172,0.4431666,-0.6385534,,12/1/20 21:00,0,4.509,4.509,,-0.076
12/1/2020 22:00:00,17.41254,14.52347,-2.88907,,12/1/20 22:00,242.07704,265.468,23.39096,,12/1/20 22:00,1.43768,0.8324027,-0.6052773,,12/1/20 22:00,0,5.014,5.014,,-0.459
12/1/2020 23:00:00,16.72238,14.61458,-2.1078,,12/1/20 23:00,249.89296,273.2667,23.37374,,12/1/20 23:00,1.48428,1.417847,-0.066433,,12/1/20 23:00,0,4.749,4.749,,-1.768
12/2/2020 0:00:00,16.51407,14.02486,-2.48921,,12/2/20 0:00,250.12717,265.5097,15.38253,,12/2/20 0:00,1.52021,1.373847,-0.146363,,12/2/20 0:00,0,4.544,4.544,,-1.946
12/2/2020 1:00:00,16.40347,13.40292,-3.00055,,12/2/20 1:00,247.30396,256.1805,8.87654,,12/2/20 1:00,1.53978,0.8441527,-0.6956273,,12/2/20 1:00,0,4.538,4.538,,-0.71
12/2/2020 2:00:00,16.35263,13.36861,-2.98402,,12/2/20 2:00,247.16626,272.4597,25.29344,,12/2/20 2:00,1.61821,1.503958,-0.114252,,12/2/20 2:00,35.78599,4.417,-31.36899,,-1.386
12/2/2020 3:00:00,17.90121,13.17208,-4.72913,,12/2/20 3:00,264.72406,277.4222,12.69814,,12/2/20 3:00,1.63108,1.354611,-0.276469,,12/2/20 3:00,210.87415,9.07,-201.80415,,37.86
12/2/2020 4:00:00,19.91138,14.38681,-5.52457,,12/2/20 4:00,271.78107,270.3042,-1.47687,,12/2/20 4:00,2.11212,1.988694,-0.123426,,12/2/20 4:00,393.70691,22.45,-371.25691,,171.8
12/2/2020 5:00:00,22.71054,16.3782,-6.33234,,12/2/20 5:00,281.54501,285.3445,3.79949,,12/2/20 5:00,2.1027,2.291514,0.188814,,12/2/20 5:00,540.83704,35.43,-505.40704,,327.4
12/2/2020 6:00:00,25.15466,19.11708,-6.03758,,12/2/20 6:00,294.7265,278.1903,-16.5362,,12/2/20 6:00,3.14961,2.284014,-0.865596,,12/2/20 6:00,627.11249,61.95,-565.16249,,460.4
12/2/2020 7:00:00,26.74084,21.78542,-4.95542,,12/2/20 7:00,300.00656,308.5236,8.51704,,12/2/20 7:00,3.15164,2.517125,-0.634515,,12/2/20 7:00,645.20953,72.71,-572.49953,,538.2
12/2/2020 8:00:00,28.06738,23.86486,-4.20252,,12/2/20 8:00,318.10651,308.75,-9.35651,,12/2/20 8:00,4.22672,2.977,-1.24972,,12/2/20 8:00,594.39551,74.96,-519.43551,,546.9
12/2/2020 9:00:00,27.68616,24.76625,-2.91991,,12/2/20 9:00,301.02771,310.2986,9.27089,,12/2/20 9:00,4.16652,3.83518,-0.33134,,12/2/20 9:00,0,69.14,69.14,,476.7
12/2/2020 10:00:00,27.56909,25.44291,-2.12618,,12/2/20 10:00,286.53152,316.9944,30.46288,,12/2/20 10:00,5.42369,4.319138,-1.104552,,12/2/20 10:00,331.23203,55.98,-275.25203,,361.1
12/2/2020 11:00:00,26.8475,25.66166,-1.18584,,12/2/20 11:00,299.90256,318.0389,18.13634,,12/2/20 11:00,3.87072,4.0165,0.14578,,12/2/20 11:00,131.94592,38.72,-93.22592,,227.6
12/2/2020 12:00:00,25.26617,24.97667,-0.2895,,12/2/20 12:00,294.50745,304.2639,9.75645,,12/2/20 12:00,1.77594,2.299361,0.523421,,12/2/20 12:00,0,17.23,17.23,,77.15
12/2/2020 13:00:00,24.03036,23.32236,-0.708,,12/2/20 13:00,284.51947,304.2306,19.71113,,12/2/20 13:00,2.08764,1.696528,-0.391112,,12/2/20 13:00,0,7.363,7.363,,4.154
