Time (UTC),T2(Model),Temp(Obs),Obs-Model,WD(Model),WD(Obs),Obs-Model,WS(Model),WS(Obs),Obs-Model,SWDown(Model), SWLower,Obs-Model,SWUpper
03-11-2020  09,30.50861,29.04208,-1.46653,,300.8528,,1.7576,3.075986,1.318386,0,87.6,87.6,564.6
03-11-2020  10,30.16214,28.81444,-1.3477,,308.1389,,4.75277,4.513278,-0.239492,380.6611,75.14,-305.5211,452.3
03-11-2020  11,29.53625,28.72625,-0.81,,321.0125,,3.71238,3.98325,0.27087,174.24031,52.56,-121.68031,284.7
03-11-2020  12,28.43674,27.9008,-0.53594,,320.152,,3.51142,2.345093,-1.166327,6.66098,19.56,12.89902,74.82
03-11-2020  13,27.5932,26.85611,-0.73709,,152.7611,,1.84325,2.113319,0.270069,0,9.13,9.13,8.84
03-11-2020  14,27.33969,25.19833,-2.14136,,74.14445,,1.27312,1.242681,-0.030439,0,6.859,6.859,0.391
03-11-2020  15,26.62164,23.41666,-3.20498,,95.53472,,1.3503,1.156375,-0.193925,0,6.314,6.314,-0.107
03-11-2020  16,24.80341,22.30875,-2.49466,,123.4486,,0.76587,0.6311389,-0.1347311,0,5.956,5.956,-0.285
03-11-2020  17,23.91818,21.60583,-2.31235,,117.7167,,1.10544,0.789361,-0.316079,0,5.695,5.695,0.005
03-11-2020  18,22.74713,21.13111,-1.61602,,118.8292,,1.46407,0.8948611,-0.5692089,0,5.506,5.506,0.501
03-11-2020  19,22.15131,19.69875,-2.45256,,202.4639,,1.37688,0.3651389,-1.0117411,0,5.407,5.407,-0.287
03-11-2020  20,21.51489,19.14083,-2.37406,,261.5792,,1.33063,0.8027361,-0.5278939,0,5.527,5.527,-0.069
03-11-2020  21,20.93997,18.85667,-2.0833,,254.8403,,1.81555,1.069625,-0.745925,0,5.119,5.119,-1.168
03-11-2020  22,20.23618,18.7268,-1.50938,,242.7805,,1.10774,0.9132222,-0.1945178,0,5.06,5.06,-1.251
03-11-2020  23,20.04318,17.81389,-2.22929,,268.3028,,1.06935,0.821736,-0.247614,0,5.205,5.205,-0.722
04-11-2020  00,19.62775,17.4918,-2.13595,,292.2958,,1.34306,1.372222,0.029162,0,4.94,4.94,-1.185
04-11-2020  01,19.29486,17.09472,-2.20014,,277.3208,,2.19742,1.899972,-0.297448,0,4.671,4.671,-2.349
04-11-2020  02,19.27759,16.64583,-2.63176,,270.8556,,2.16115,1.840069,-0.321081,85.06384,5.273,-79.79084,2.052
04-11-2020  03,20.41962,16.46236,-3.95726,,273.0028,,2.51256,1.499417,-1.013143,268.72241,13.02,-255.70241,61.67
04-11-2020  04,22.5556,17.69889,-4.85671,,280.375,,2.3589,1.746417,-0.612483,445.76257,27.39,-418.37257,187.8
04-11-2020  05,25.38272,20.55208,-4.83064,,266.2347,,2.09985,1.270611,-0.829239,585.67719,37.86,-547.81719,295.4
04-11-2020  06,27.91275,21.9993,-5.91345,,294.475,,2.58609,2.141472,-0.444618,667.64038,64.34,-603.30038,371.4
04-11-2020  07,30.06705,23.16639,-6.90066,,293.7417,,3.08167,2.156097,-0.925573,681.65686,64.94,-616.71686,345.8
04-11-2020  08,30.58411,23.99236,-6.59175,,288.4736,,5.5937,2.362292,-3.231408,626.92694,59.96,-566.96694,305.1
04-11-2020  09,30.87878,25.26944,-5.60934,337.50146,296.5097,-40.99176,2.88838,2.279861,-0.608519,0,65.93,65.93,359.6
04-11-2020  10,30.65475,26.58014,-4.07461,323.95987,286.3917,-37.56817,3.97121,2.576097,-1.395113,330.8735,59.04,-271.8335,326.5
04-11-2020  11,30.03192,27.19847,-2.83345,324.3812,290.4903,-33.8909,3.69868,2.281111,-1.417569,140.50603,39.01,-101.49603,199.6
04-11-2020  12,28.84299,26.72302,-2.11997,344.67102,281.175,-63.49602,3.42045,2.081031,-1.339419,4.65564,14.72,10.06436,51.3
