date,hour,mod_PM2.5,mod_PM2.5_stdev,mod_PM10,mod_PM10_stdev 
2020-11-1,0:00:00,152.61,51.64,241.71,105.98
2020-11-1,1:00:00,159.82,53.31,254.49,111.38
2020-11-1,2:00:00,160.04,51.57,252.47,109.05
2020-11-1,3:00:00,156.73,40.47,242.03,87.21
2020-11-1,4:00:00,156.32,41.95,232.03,84.02
2020-11-1,5:00:00,157.04,44.11,231.33,85.67
2020-11-1,6:00:00,141.07,36.02,203.85,68.86
2020-11-1,7:00:00,100.28,23.66,139.01,43.47
2020-11-1,8:00:00,70.95,13.78,97.52,25.65
2020-11-1,9:00:00,65.83,17.45,90.71,32.72
2020-11-1,10:00:00,63.1,16.79,88.23,30.99
2020-11-1,11:00:00,63.65,23.63,92.11,45.26
2020-11-1,12:00:00,82.08,38.69,135.24,75.75
2020-11-1,13:00:00,124.49,69.48,226.86,139
2020-11-1,14:00:00,161.59,93.27,307.61,187.1
2020-11-1,15:00:00,184.55,119.52,360.82,243.08
2020-11-1,16:00:00,185.66,123.5,361.9,243.91
2020-11-1,17:00:00,176.54,129.48,344.19,254.15
2020-11-1,18:00:00,154.09,105.8,299.6,207.59
2020-11-1,19:00:00,134.25,89.24,261.74,175.83
2020-11-1,20:00:00,115.93,69.84,226.2,139.06
2020-11-1,21:00:00,105.57,63.8,207.39,127.29
2020-11-1,22:00:00,97.85,56.33,193.15,112.21
2020-11-1,23:00:00,90.07,47.07,181.35,102.62
2020-11-2,0:00:00,91.95,48.82,186.83,107.36
2020-11-2,1:00:00,102.19,57.83,208.51,125.19
2020-11-2,2:00:00,104.84,58.16,214.72,131.36
2020-11-2,3:00:00,99.08,57.81,200.06,122.5
2020-11-2,4:00:00,91.6,49.93,180.47,101.3
2020-11-2,5:00:00,92.94,48.06,180.8,95.02
2020-11-2,6:00:00,78.57,38.01,148.96,75.33
2020-11-2,7:00:00,48.19,27.24,86.27,53.31
2020-11-2,8:00:00,36.53,15.82,63.56,30.96
2020-11-2,9:00:00,33.84,16.79,58.11,32.79
2020-11-2,10:00:00,33,14.02,56.62,27.12
2020-11-2,11:00:00,35.01,18.3,61.25,36.25
2020-11-2,12:00:00,57.63,32.15,110.92,64.92
2020-11-2,13:00:00,109.31,73.96,219.05,152.24
2020-11-2,14:00:00,157.06,108.63,315.65,219.35
2020-11-2,15:00:00,197.2,147.22,400.1,296.55
2020-11-2,16:00:00,225.91,167.94,458.91,340.58
2020-11-2,17:00:00,250.95,191.57,515.14,375.02
2020-11-2,18:00:00,228.71,144.94,469.15,289.45
2020-11-2,19:00:00,197.15,121.46,405.87,246.81
2020-11-2,20:00:00,188.98,137.03,382.68,271.12
2020-11-2,21:00:00,163.79,133.61,329.31,259.98
2020-11-2,22:00:00,127.9,85.72,257.9,169.63
2020-11-2,23:00:00,119.55,81.95,241.33,164.89
2020-11-3,0:00:00,120.77,76.67,241.16,151.5
2020-11-3,1:00:00,125.47,83.04,252.24,166
2020-11-3,2:00:00,142.01,102.94,283.55,199.37
2020-11-3,3:00:00,137.11,98.25,274.21,189.22
2020-11-3,4:00:00,128.88,76.13,257.87,149.65
2020-11-3,5:00:00,123.76,73.03,244.17,138.58
2020-11-3,6:00:00,88.22,46.95,175.35,89.85
2020-11-3,7:00:00,52.78,23.6,108.7,45.75
2020-11-3,8:00:00,47.52,19.25,94.73,37.61
2020-11-3,9:00:00,43.59,15.2,84.34,31.1
2020-11-3,10:00:00,56.43,21.69,99.16,38.52
2020-11-3,11:00:00,66.23,27.24,111.4,51.69
2020-11-3,12:00:00,99.99,43.45,176.18,89.22
2020-11-3,13:00:00,161.94,91.72,295.95,185.16
2020-11-3,14:00:00,206.03,124.61,389.44,262.01
2020-11-3,15:00:00,285.82,179.37,558.96,390.42
2020-11-3,16:00:00,370.5,254.95,733.77,518.13
2020-11-3,17:00:00,363.86,224.12,721.62,471.8
2020-11-3,18:00:00,395.07,274.59,779.29,557.11
2020-11-3,19:00:00,372.36,247.42,715.77,487.94
2020-11-3,20:00:00,334.35,183.58,633.39,364.42
2020-11-3,21:00:00,309.3,162.94,582.73,331.6
2020-11-3,22:00:00,279.07,173.64,518.82,349.25
2020-11-3,23:00:00,240.82,152.54,437.52,302.51
2020-11-4,0:00:00,210.7,143.18,372.81,281.03
2020-11-4,1:00:00,207.66,122.27,368.2,248.52
2020-11-4,2:00:00,198.6,92.58,344.76,188.67
2020-11-4,3:00:00,197.83,119.59,340.59,245.79
2020-11-4,4:00:00,182.45,73.14,304.93,159.71
2020-11-4,5:00:00,179.6,67.47,288.83,142.31
2020-11-4,6:00:00,163.55,48.54,242.23,94.87
2020-11-4,7:00:00,142.16,32.08,192.06,59.88
2020-11-4,8:00:00,126.44,24.5,159.96,45.09
2020-11-4,9:00:00,116.7,22.34,145.75,41.79
2020-11-4,10:00:00,200.25,79.03,237.26,89.84
2020-11-4,11:00:00,266.87,102.76,307.76,109.3
2020-11-4,12:00:00,383.28,107.75,475.88,172.96
2020-11-4,13:00:00,441.81,119.76,595.46,211.31
2020-11-4,14:00:00,482.53,166.85,698.02,313.16
2020-11-4,15:00:00,484.51,177.16,725.77,338.69
2020-11-4,16:00:00,483.5,173.04,738.6,331.82
2020-11-4,17:00:00,462.3,162.04,712.59,326.06
2020-11-4,18:00:00,447.91,159.18,692,331.71
2020-11-4,19:00:00,429.52,144.53,656.61,282.43
2020-11-4,20:00:00,394.88,119.15,598.23,232.26
2020-11-4,21:00:00,369.3,128.14,559.71,248.1
2020-11-4,22:00:00,327.39,108.79,487.15,205.19
2020-11-4,23:00:00,300.41,96.42,443.29,183.36
2020-11-5,0:00:00,288.73,84.98,429.29,168.24
2020-11-5,1:00:00,294.27,93.88,445.17,183.36
2020-11-5,2:00:00,309.57,139.81,481.79,266.15
2020-11-5,3:00:00,326.28,181.01,529.46,347.49
2020-11-5,4:00:00,281.64,122.69,450.2,234.83
2020-11-5,5:00:00,242.79,91.46,383.55,182.55
2020-11-5,6:00:00,206.64,71.89,317.49,137.94
2020-11-5,7:00:00,156.81,43.02,228.67,80.7
2020-11-5,8:00:00,114.59,25.11,166.08,48.26
2020-11-5,9:00:00,100.07,23.8,146.5,44.57
2020-11-5,10:00:00,111.93,31.45,161.16,54.87
2020-11-5,11:00:00,114.49,25.09,166.91,44.23
2020-11-5,12:00:00,167.02,54.37,269.49,125.75
2020-11-5,13:00:00,228.98,102.56,402.07,233.67
2020-11-5,14:00:00,273.58,141.7,486.97,290.77
2020-11-5,15:00:00,315.72,195.44,582.62,422.7
2020-11-5,16:00:00,321.48,178.65,594.43,374.92
2020-11-5,17:00:00,304.21,166.47,556.85,351.24
2020-11-5,18:00:00,277.62,123.27,501.72,268.27
2020-11-5,19:00:00,276.26,122.32,493.69,255.36
2020-11-5,20:00:00,266.73,115.96,463.29,235.05
2020-11-5,21:00:00,256.31,103.98,437.88,207.99
2020-11-5,22:00:00,255.93,99.05,434.93,206.34
2020-11-5,23:00:00,245.31,86.2,408.86,179.73
2020-11-6,0:00:00,246.4,83.65,408.59,170.86
2020-11-6,1:00:00,259.77,91.53,435.78,186.1
2020-11-6,2:00:00,268.87,105.09,460.36,225.77
2020-11-6,3:00:00,293.15,149.53,511.99,303.63
2020-11-6,4:00:00,268.75,109.97,464.1,240.98
2020-11-6,5:00:00,266.58,115.42,453.62,234.74
2020-11-6,6:00:00,221.07,71.45,354.42,136.27
2020-11-6,7:00:00,173.26,43.85,258.23,80.75
2020-11-6,8:00:00,146.93,26.31,209.4,48.57
2020-11-6,9:00:00,134.42,28.9,191.3,54.14
2020-11-6,10:00:00,138.14,26.23,188.48,42.67
2020-11-6,11:00:00,148.77,29.36,205.15,55.02
2020-11-6,12:00:00,214.83,58.19,325.75,115.22
2020-11-6,13:00:00,277.06,89.76,444.17,182.21
2020-11-6,14:00:00,338.05,159.95,567.28,322.14
2020-11-6,15:00:00,367.26,186.77,633.79,373.51
2020-11-6,16:00:00,386.34,202.2,674.96,403.89
2020-11-6,17:00:00,361.73,182.63,624.11,360.99
2020-11-6,18:00:00,332.26,154.22,567.27,302.85
2020-11-6,19:00:00,306.15,144.27,515.13,280.34
2020-11-6,20:00:00,264.26,104.04,436.65,207.2
2020-11-6,21:00:00,241.93,88.03,397.1,181.68
2020-11-6,22:00:00,227.47,77.81,370.88,163.11
2020-11-6,23:00:00,219.39,70.05,354.17,152.16
2020-11-7,0:00:00,220.07,74.77,356.01,158.65
2020-11-7,1:00:00,227.18,90.51,372.3,185.72
2020-11-7,2:00:00,233.88,99.54,389.08,201.48
2020-11-7,3:00:00,211.13,81.92,351.99,181.22
2020-11-7,4:00:00,185.67,64.26,297.81,129.92
2020-11-7,5:00:00,168.45,57.26,266.92,113.42
2020-11-7,6:00:00,137.06,36.25,208.45,71.51
2020-11-7,7:00:00,112.56,27.72,160.55,53.73
2020-11-7,8:00:00,96.08,16.68,127.09,30.77
2020-11-7,9:00:00,93.31,15.92,121.84,28.65
2020-11-7,10:00:00,111.86,21.9,149.26,42.51
2020-11-7,11:00:00,127.03,27.65,173.76,53.41
2020-11-7,12:00:00,186.09,62.49,291.93,127.92
2020-11-7,13:00:00,278.81,149.72,474.39,300.01
2020-11-7,14:00:00,336.79,182.9,591.23,371.23
2020-11-7,15:00:00,408.18,239.77,725.53,473.63
2020-11-7,16:00:00,414.82,229.59,741.01,457.61
2020-11-7,17:00:00,404.18,207.92,727.08,439.93
2020-11-7,18:00:00,389.73,190.33,689.93,394.85
2020-11-7,19:00:00,373.89,196.08,651.96,392.55
2020-11-7,20:00:00,343.44,158.28,587.45,320.89
2020-11-7,21:00:00,324.33,138.67,546.99,281.9
2020-11-7,22:00:00,310.95,133.66,517.44,265.27
2020-11-7,23:00:00,301.28,130.15,496.41,257.23
2020-11-8,0:00:00,310.74,148.2,513.47,288.83
2020-11-8,1:00:00,326.38,163.88,543.83,317.69
2020-11-8,2:00:00,335.17,169.32,565.94,332.89
2020-11-8,3:00:00,331.66,197.38,565.44,386.36
2020-11-8,4:00:00,308.39,146.87,519.59,289.68
2020-11-8,5:00:00,312.68,147.7,527.39,287.84
2020-11-8,6:00:00,249.94,98.93,407.35,193.84
2020-11-8,7:00:00,158.2,48.68,236.07,94.15
2020-11-8,8:00:00,117.91,33.76,165.97,64.41
2020-11-8,9:00:00,106.35,26.94,146.49,51.71
2020-11-8,10:00:00,142.91,49.65,182.65,68.44
2020-11-8,11:00:00,155.29,48.46,203.86,61.35
2020-11-8,12:00:00,265.17,84.69,376.96,165.72
2020-11-8,13:00:00,357.82,164.84,549.44,335.22
2020-11-8,14:00:00,407.51,206.91,680.33,455.59
2020-11-8,15:00:00,465.85,275.79,820.6,632.96
2020-11-8,16:00:00,469.63,259.14,842.62,567.41
2020-11-8,17:00:00,449.42,250.4,804.56,534.98
2020-11-8,18:00:00,448.25,290.3,798.04,604.24
2020-11-8,19:00:00,441.22,317.06,788.73,663.17
2020-11-8,20:00:00,419.99,242.35,744.5,513.48
2020-11-8,21:00:00,421.6,215.41,745.64,454.85
2020-11-8,22:00:00,458.49,228.53,803.33,465.47
2020-11-8,23:00:00,450.34,209.12,775.23,415.44
2020-11-9,0:00:00,444.15,207.66,759.2,408.26
2020-11-9,1:00:00,450.32,228.93,765.58,443.17
2020-11-9,2:00:00,458.04,254.88,784.75,496.01
2020-11-9,3:00:00,428.82,263.16,735.3,509.05
2020-11-9,4:00:00,380.06,188.08,639.71,364.46
2020-11-9,5:00:00,349.02,151.83,579.97,301.91
2020-11-9,6:00:00,311.6,121.27,499.55,237.66
2020-11-9,7:00:00,240.09,73.3,354.9,138
2020-11-9,8:00:00,182.95,45.66,251.98,86.37
2020-11-9,9:00:00,163.28,35.93,220.04,67.48
2020-11-9,10:00:00,190.65,61.75,241.04,88.09
2020-11-9,11:00:00,201.4,46.04,252.13,73.18
2020-11-9,12:00:00,259.02,68.52,353.17,130.3
2020-11-9,13:00:00,328.27,123.1,515.43,256.52
2020-11-9,14:00:00,381.66,160.71,648.66,379.4
2020-11-9,15:00:00,416.38,202.43,725.78,417.34
2020-11-9,16:00:00,466.09,305.91,849.04,656.56
2020-11-9,17:00:00,436.57,265.73,781.48,524.55
2020-11-9,18:00:00,410.22,229.73,748.34,499.19
2020-11-9,19:00:00,399.1,229.8,736.36,500.95
2020-11-9,20:00:00,371.7,223.34,667.99,457.41
2020-11-9,21:00:00,368.24,226.6,674.61,481.5
2020-11-9,22:00:00,364.37,239.09,690.71,579.1
2020-11-9,23:00:00,346.5,213.82,633.52,450.63
2020-11-10,0:00:00,356.51,221.38,651.35,466.35
2020-11-10,1:00:00,382.26,252.36,712.66,566.89
2020-11-10,2:00:00,425.54,302.53,796.11,640.87
2020-11-10,3:00:00,432.23,307.19,804.74,628.97
2020-11-10,4:00:00,393.3,227.91,720.85,455.88
2020-11-10,5:00:00,327.97,169.52,592.7,354.05
2020-11-10,6:00:00,221.08,93.36,381.23,191.1
2020-11-10,7:00:00,153.12,71.56,256.54,143.7
2020-11-10,8:00:00,138.34,68.35,223.05,123.6
2020-11-10,9:00:00,119.92,53.66,188.81,106.93
2020-11-10,10:00:00,107.16,39.82,165.32,79.54
2020-11-10,11:00:00,94.91,29.82,142.76,58.84
2020-11-10,12:00:00,134.33,72.87,232.4,155.87
2020-11-10,13:00:00,240.45,182.56,453.23,385.64
2020-11-10,14:00:00,295.53,222.24,558.1,471.99
2020-11-10,15:00:00,428.81,393.02,819.61,755.17
2020-11-10,16:00:00,440.1,360.93,850.07,694.54
2020-11-10,17:00:00,429.2,341.99,830.39,666.41
2020-11-10,18:00:00,413.65,282.64,788.81,565.82
2020-11-10,19:00:00,432.32,259.06,819.15,516.56
2020-11-10,20:00:00,444.51,261.58,830.76,512.48
2020-11-10,21:00:00,422.93,216.74,784.93,437.27
2020-11-10,22:00:00,446.12,251.86,836.02,520.91
2020-11-10,23:00:00,442.86,260.87,822.99,531.16
2020-11-11,0:00:00,427.25,261.31,783.82,519.02
2020-11-11,1:00:00,426.95,270.22,791.55,555.87
2020-11-11,2:00:00,432.4,281.5,816.15,599.95
2020-11-11,3:00:00,424.5,303.66,794.06,620.49
2020-11-11,4:00:00,410.53,293.09,768.63,624.28
2020-11-11,5:00:00,382.45,245.91,700.54,503.14
2020-11-11,6:00:00,256.98,149.38,442.41,287.57
2020-11-11,7:00:00,126.93,46.15,196.52,86.08
2020-11-11,8:00:00,96.42,35.98,144.43,74.95
2020-11-11,9:00:00,80.68,30.76,118.67,66.46
2020-11-11,10:00:00,64.78,15.08,89.94,28.56
2020-11-11,11:00:00,68.37,17.63,104.7,35.33
2020-11-11,12:00:00,93.3,39.47,158.85,81.67
2020-11-11,13:00:00,172.4,95.8,333.38,221.95
2020-11-11,14:00:00,230.97,136.9,451.81,306.29
2020-11-11,15:00:00,270.15,176.56,530.68,382.43
2020-11-11,16:00:00,281.33,160.34,543.42,344.19
2020-11-11,17:00:00,329.76,194.04,682.7,538.9
2020-11-11,18:00:00,309.51,172.05,605.61,426.84
2020-11-11,19:00:00,292.72,143.83,558.29,294.54
2020-11-11,20:00:00,280.24,138.79,542.54,346.9
2020-11-11,21:00:00,259.07,136.59,488.01,320.07
2020-11-11,22:00:00,238.26,128.04,444.38,308.5
2020-11-11,23:00:00,221.76,123.27,413.6,305.29
2020-11-12,0:00:00,220.43,122.55,412.5,325.98
2020-11-12,1:00:00,227.74,122.67,423.36,285.37
2020-11-12,2:00:00,249.81,168.79,470.66,415.26
2020-11-12,3:00:00,241.03,154.26,462.58,427.54
2020-11-12,4:00:00,221.65,110.11,413.12,263.86
2020-11-12,5:00:00,188.15,83.82,332.52,190.69
2020-11-12,6:00:00,105.62,39.82,163.07,81.6
2020-11-12,7:00:00,88.14,25.25,130.85,47.53
2020-11-12,8:00:00,82.9,23.48,120.79,44.42
2020-11-12,9:00:00,83.33,31.68,121.25,59.24
2020-11-12,10:00:00,79.41,30.49,113.21,49.56
2020-11-12,11:00:00,77.85,25.84,115.55,55.46
2020-11-12,12:00:00,87.51,43.47,137.74,83.44
2020-11-12,13:00:00,154.61,116.43,293.11,255.83
