date,hour,obs_PM2.5,obs_PM2.5_stdev,obs_PM10,obs_PM10_stdev 
2020-11-01,0:00:00,387.9,158.73,561.44,165.77
2020-11-01,1:00:00,348.11,143.39,486.04,159.66
2020-11-01,2:00:00,326.03,120.39,516.67,134.42
2020-11-01,3:00:00,302.9,111.29,514.41,125.31
2020-11-01,4:00:00,309.05,104.38,520.55,102.16
2020-11-01,5:00:00,253.67,78.94,459.1,73.83
2020-11-01,6:00:00,174.09,48.35,346.14,53.85
2020-11-01,7:00:00,117.41,28.56,278.76,60.07
2020-11-01,8:00:00,77.56,19.65,199.37,70.34
2020-11-01,9:00:00,66.4,17.95,185.82,67.69
2020-11-01,10:00:00,68.15,12.54,181.15,46.89
2020-11-01,11:00:00,68.76,14.6,190.68,56.69
2020-11-01,12:00:00,84.56,49.66,227.89,82.9
2020-11-01,13:00:00,121.43,72.31,301.39,128.89
2020-11-01,14:00:00,129.23,55.97,326.98,129.54
2020-11-01,15:00:00,NaN,NaN,NaN,NaN
2020-11-01,16:00:00,NaN,NaN,NaN,NaN
2020-11-01,17:00:00,NaN,NaN,NaN,NaN
2020-11-01,18:00:00,157.45,43.59,307.89,85.99
2020-11-01,19:00:00,166.75,53.06,301.35,87.35
2020-11-01,20:00:00,185.81,64.21,314,88.65
2020-11-01,21:00:00,198.26,72.09,314.1,94.66
2020-11-01,22:00:00,173.91,84.53,290.43,108.93
2020-11-01,23:00:00,159.32,96.17,270.6,130.74
2020-11-02,0:00:00,139.33,85.62,244.12,131.2
2020-11-02,1:00:00,116.35,66.32,226.64,114.69
2020-11-02,2:00:00,113.74,64.87,254.27,118.54
2020-11-02,3:00:00,129.55,63.31,304.04,129.35
2020-11-02,4:00:00,143.89,67.77,321.97,129.1
2020-11-02,5:00:00,175.88,69.91,352.12,109.49
2020-11-02,6:00:00,192.87,52.37,366.62,66.02
2020-11-02,7:00:00,181.61,46.87,343.22,52.65
2020-11-02,8:00:00,159.52,54.46,291.06,78.14
2020-11-02,9:00:00,146.82,50.7,272.39,72.35
2020-11-02,10:00:00,106.5,41.03,223.85,83.79
2020-11-02,11:00:00,95.58,35.19,222.47,86.54
2020-11-02,12:00:00,112.03,46.12,294.74,169.42
2020-11-02,13:00:00,144.24,67.56,367.71,202.72
2020-11-02,14:00:00,184.75,99,440.52,202.12
2020-11-02,15:00:00,198.28,93.89,448.83,187.22
2020-11-02,16:00:00,209.28,99.98,474.76,213.5
2020-11-02,17:00:00,207.42,91.61,423.72,159.57
2020-11-02,18:00:00,200.09,72.81,393.44,137.08
2020-11-02,19:00:00,193.19,76.99,372.94,152.79
2020-11-02,20:00:00,189.9,80.25,348.94,147.36
2020-11-02,21:00:00,161.85,63.56,315.56,147.8
2020-11-02,22:00:00,159.88,56.06,287.92,90.99
2020-11-02,23:00:00,152.62,59.17,281.59,98.51
2020-11-03,0:00:00,143.96,52.64,266.56,88.3
2020-11-03,1:00:00,155.15,51.92,286.16,87.09
2020-11-03,2:00:00,177.87,68.58,360.08,149.31
2020-11-03,3:00:00,186.5,77.28,394.12,147.63
2020-11-03,4:00:00,159.84,55.61,356.68,98.75
2020-11-03,5:00:00,130.33,48.46,292.42,101.97
2020-11-03,6:00:00,113.29,52.26,257.77,110.59
2020-11-03,7:00:00,93.54,54.1,220.03,103.16
2020-11-03,8:00:00,66.05,46.86,167.41,87.7
2020-11-03,9:00:00,52.85,40.41,139.01,77.96
2020-11-03,10:00:00,50.39,29.19,131.82,55.85
2020-11-03,11:00:00,66.13,34.85,177.72,88.37
2020-11-03,12:00:00,93.23,48.64,285.89,166.75
2020-11-03,13:00:00,141.16,126.75,381.89,258.22
2020-11-03,14:00:00,169.19,102.56,428.25,240.36
2020-11-03,15:00:00,177.24,90.64,382.12,154.77
2020-11-03,16:00:00,175.63,73.6,398.17,163.22
2020-11-03,17:00:00,187.92,76.74,399.08,162.54
2020-11-03,18:00:00,181.29,71.13,364.94,146.1
2020-11-03,19:00:00,188,73.83,363.33,144.97
2020-11-03,20:00:00,176.82,73.73,339.95,125.43
2020-11-03,21:00:00,170.5,74.05,326.77,128.48
2020-11-03,22:00:00,162.95,68.09,313.23,105.84
2020-11-03,23:00:00,171.83,77.27,308.12,111.55
2020-11-04,0:00:00,179.97,95.97,318.92,142.74
2020-11-04,1:00:00,169.54,81.53,316.82,123.51
2020-11-04,2:00:00,181.1,67.65,358.68,120.05
2020-11-04,3:00:00,189.57,66.08,398.43,117.35
2020-11-04,4:00:00,214.73,66.2,455.72,118.42
2020-11-04,5:00:00,247.94,97.21,486.3,142.6
2020-11-04,6:00:00,308.67,119.91,546,157.51
2020-11-04,7:00:00,383.15,157.88,641.34,172.55
2020-11-04,8:00:00,410.64,182.25,663.08,193.11
2020-11-04,9:00:00,416.51,173.15,657.89,173.98
2020-11-04,10:00:00,393.89,150,616.73,152.59
2020-11-04,11:00:00,377.83,140.82,620.66,164.85
2020-11-04,12:00:00,384.21,140.37,646.53,173.65
2020-11-04,13:00:00,384.7,139.61,662.61,170.4
2020-11-04,14:00:00,422,144.63,672.62,176.31
2020-11-04,15:00:00,406.34,141.2,673.19,188.54
2020-11-04,16:00:00,382.66,151.47,627.89,192.78
2020-11-04,17:00:00,404.81,132.8,632.85,171.65
2020-11-04,18:00:00,412.3,122.22,613.36,155.03
2020-11-04,19:00:00,392.14,127.23,591.09,157.5
2020-11-04,20:00:00,370.6,117.03,545.08,147.75
2020-11-04,21:00:00,356.99,109.3,517,139.41
2020-11-04,22:00:00,355.45,110.1,508.54,145.34
