datetime,pbl_stull_hgt,model_pbl
 2020-12-01 00:00:00 ,113,
 2020-12-01 12:00:00 ,914,875.3894
 2020-12-02 00:00:00 ,113,80.29982
 2020-12-02 12:00:00 ,784,808.56018
 2020-12-03 00:00:00 ,176,76.13035
 2020-12-03 12:00:00 ,745,979.92645
 2020-12-04 00:00:00 ,148,82.63326
 2020-12-04 12:00:00 ,3753,1175.96558
 2020-12-05 00:00:00 ,329,96.46932
 2020-12-05 12:00:00 ,550,515.49677
 2020-12-06 00:00:00 ,303,164.30745
 2020-12-06 12:00:00 ,823,1204.21582
 2020-12-07 00:00:00 ,69,76.36523
 2020-12-07 12:00:00 ,631,849.45551
 2020-12-08 00:00:00 ,26,112.49545
 2020-12-08 12:00:00 ,804,1455.61279
 2020-12-09 00:00:00 ,247,92.52689
 2020-12-09 12:00:00 ,913,843.02618
 2020-12-10 00:00:00 ,159,99.58902
 2020-12-10 12:00:00 ,671,1408.40356
 2020-12-11 00:00:00 ,320,84.43767
 2020-12-11 12:00:00 ,360,871.3761
 2020-12-12 00:00:00 ,97,355.10474
 2020-12-12 12:00:00 ,707,1835.42786
 2020-12-13 00:00:00 ,121,436.49969
 2020-12-13 12:00:00 ,846,1166.50244
 2020-12-14 00:00:00 ,317,230.43356
 2020-12-14 12:00:00 ,620,1107.71155
 2020-12-15 00:00:00 ,42,132.86444
 2020-12-15 12:00:00 ,484,1007.81848
 2020-12-16 00:00:00 ,363,151.25664
 2020-12-16 12:00:00 ,848,1070.20691
 2020-12-17 00:00:00 ,217,291.2099
 2020-12-17 12:00:00 ,611,673.67828
 2020-12-18 00:00:00 ,153,203.65817
 2020-12-18 12:00:00 ,833,601.86829
 2020-12-19 00:00:00 ,171,154.91818
 2020-12-19 12:00:00 ,562,577.52185
 2020-12-20 00:00:00 ,232,151.35663
 2020-12-20 12:00:00 ,611,523.96796
 2020-12-21 00:00:00,539,135.72617
 2020-12-21 12:00:00,34,472.92072
 2020-12-22 00:00:00 ,782,83.00683
 2020-12-22 12:00:00 ,34,708.28912
 2020-12-23 00:00:00 ,632,84.85762
 2020-12-23 12:00:00 ,103,800.18762
 2020-12-24 00:00:00 ,547,79.08216
 2020-12-24 12:00:00 ,77,1090.29236
 2020-12-25 00:00:00 ,889,109.66788
 2020-12-25 12:00:00 ,155,820.56702
 2020-12-26 00:00:00 ,700,93.67124
 2020-12-26 12:00:00 ,146,612.97498
 2020-12-27 00:00:00 ,411,93.76271
 2020-12-27 12:00:00 ,34,760.56586
 2020-12-28 00:00:00 ,1315,201.12064
 2020-12-28 12:00:00 ,221,987.36877
 2020-12-29 00:00:00 ,746,178.90892
 2020-12-29 12:00:00 ,33,1013.99921
 2020-12-30 00:00:00 ,443,289.65668
 2020-12-30 12:00:00 ,1221,
 2020-12-31 00:00:00 ,216,
 2020-12-31 12:00:00 ,,
