datetime,pbl_stull_hgt
2021-01-01 0:00:00,135
2021-01-01 12:00:00,584
2021-01-02 0:00:00,623
2021-01-02 12:00:00,219
2021-01-03 0:00:00,327
2021-01-03 12:00:00,175
2021-01-04 0:00:00,236
2021-01-04 12:00:00,35
2021-01-05 0:00:00,239
2021-01-05 12:00:00,633
2021-01-06 0:00:00,221
2021-01-06 12:00:00,290
2021-01-07 12:00:00,848
2021-01-08 12:00:00,324
2021-01-09 0:00:00,164
2021-01-09 12:00:00,408
2021-01-10 0:00:00,196
2021-01-10 12:00:00,428
2021-01-11 0:00:00,161
2021-01-11 12:00:00,465
2021-01-12 0:00:00,501
2021-01-12 12:00:00,411
2021-01-13 0:00:00,110
2021-01-13 12:00:00,191
2021-01-14 0:00:00,127
2021-01-14 12:00:00,552
2021-01-15 0:00:00,384
2021-01-15 12:00:00,864
2021-01-16 0:00:00,206
2021-01-16 12:00:00,353
2021-01-17 0:00:00,152
2021-01-17 12:00:00,514
2021-01-18 0:00:00,102
2021-01-18 12:00:00,436
2021-01-19 0:00:00,112
2021-01-19 12:00:00,254
2021-01-20 12:00:00,371
2021-01-21 0:00:00,60
2021-01-21 12:00:00,651
2021-01-22 0:00:00,51
2021-01-22 12:00:00,281
2021-01-23 12:00:00,380
2021-01-24 0:00:00,339
2021-01-24 12:00:00,456
2021-01-25 0:00:00,332
2021-01-25 12:00:00,963
2021-01-26 0:00:00,513
2021-01-26 12:00:00,1178
2021-01-27 0:00:00,76
2021-01-27 12:00:00,1142
2021-01-28 0:00:00,110
2021-01-28 12:00:00,995
2021-01-29 0:00:00,59
2021-01-29 12:00:00,1037
2021-01-30 0:00:00,258
2021-01-30 12:00:00,1518
2021-01-31 0:00:00,197
2021-01-31 12:00:00,1467
